start	end	pos_1	strand	genes	promoter
3731070	3731070	3731070	+	xylA; xylF	
3732782	3732782	3732782	-	xylG	
3737240	3737240	3737240	-	malS; bax; baxL	
3739675	3739675	3739675	+	avtA	
3741838	3741838	3741838	-	ysaA; plaR	
3742539	3742539	3742539	-	plaR; yiaK	
3751992	3751992	3751992	+	yiaT; yiaU	
3756534	3756534	3756534	-	aldB	
3759941	3759941	3759941	-	selA; selB	
3761975	3761975	3761975	-	rhsA; selA; yibF	
3766090	3766090	3766090	-	rhsA; yibA	
3771810	3771810	3771810	-	mtlA; yibH; yibI	
3772190	3772190	3772190	+	mtlA; yibI	
3776445	3776445	3776445	-	yibL; yibT	
3776636	3776636	3776636	-	lldP; yibL; yibT	
3776655	3776655	3776655	+	lldP; yibL; yibT	
3777290	3777290	3777290	+	lldP; yibL	
3781200	3781200	3781200	+	cysX; trmL	
3784967	3784967	3784967	-	grxC; yibN; gpmM	
3784981	3784981	3784981	+	grxC; yibN; gpmM	
3785053	3785053	3785053	-	grxC; yibN; gpmM	
3787952	3787952	3787952	+	envC; yibQ	
3790875	3790875	3790875	-	tdh; waaH	
3792125	3792125	3792125	-	kbl; tdh	
3792670	3792670	3792670	-	kbl	
3793683	3793683	3793683	-	rfaD; htrL	
3793754	3793754	3793754	+	rfaD; htrL	
3805830	3805830	3805830	-	waaP; waaS	
3808238	3808238	3808238	-	waaA; waaQ; rirA	
3808509	3808509	3808509	+	waaA; waaQ; rirA	
3809410	3809410	3809410	+	waaA; coaD	
3811176	3811176	3811176	-	mutM; rpmB; rpmG	
3811995	3811995	3811995	-	dfp; rpmB; rpmG; yicR	
3812576	3812576	3812576	-	dfp; yicR	
3812702	3812702	3812702	+	dfp; yicR	
3815773	3815773	3815773	-	pyrE; rph	
3816579	3816579	3816579	-	rph; yicC	
3816649	3816649	3816649	+	rph; yicC	
3821387	3821387	3821387	+	rpoZ; gmk; ligB	
3822095	3822095	3822095	-	rpoZ; gmk; spoT	
3828921	3828921	3828921	+	gltS; xanP	
3829153	3829153	3829153	-	gltS; xanP	
3830432	3830432	3830432	+	yicH	
3836198	3836198	3836198	+	yicJ; setC; selC; yicT	
3836223	3836223	3836223	+	yicJ; setC; selC; yicT	
3838214	3838214	3838214	+	yicL; yicU	
3840015	3840015	3840015	-	nlpA; yicS	
3843910	3843910	3843910	+	adeQ; adeD	
3850744	3850744	3850744	-	ilvN; uhpA; uhpB	
3853016	3853016	3853016	-	ilvB; ivbL; istR; istR-1; tisA; tisB	
3853256	3853256	3853256	-	ilvB; ivbL; emrD; istR; istR-1; ysdE; tisA; tisB	
3853338	3853338	3853338	+	ilvB; ivbL; emrD; istR; istR-1; ysdE; tisA; tisB	
3856396	3856396	3856396	+	yidF; yidG; yidH; yidI	
3856413	3856413	3856413	-	yidG; yidH; yidI	
3860254	3860254	3860254	+	yidK; yidL	
3866343	3866343	3866343	-	ibpB; yidE	
3867517	3867517	3867517	-	ibpA; ibpB; yidQ	
3867529	3867529	3867529	+	ibpA; ibpB; yidQ	
3867609	3867609	3867609	+	ibpA; ibpB; yidQ	
3869302	3869302	3869302	-	yidR; cbrA	
3877495	3877495	3877495	-	yidA; yidB	
3880151	3880151	3880151	-	gyrB; recF	
3883880	3883880	3883880	-	dnaA; rnpA; rpmH; ysdD	
3883960	3883960	3883960	-	dnaA; rnpA; rpmH; ysdD	
3884115	3884115	3884115	+	dnaA; rnpA; rpmH; yidD; ysdD	
3884241	3884241	3884241	+	dnaA; rnpA; rpmH; yidD; ysdD	
3886752	3886752	3886752	+	mnmE	
3888412	3888412	3888412	+	tnaA; tnaC	
3893721	3893721	3893721	-	yidZ; yieE	
3893844	3893844	3893844	-	yieE	
3896638	3896638	3896638	-	adeP; yieH	
3904419	3904419	3904419	+	bglB; bglF	
3911568	3911568	3911568	-	pstS	
3914360	3914360	3914360	-	glmS; glmU	
3915220	3915220	3915220	-	atpC; glmU	
3922524	3922524	3922524	-	atpB; atpI	
3922605	3922605	3922605	+	atpB; atpI	
3923341	3923341	3923341	+	rsmG	
3923708	3923708	3923708	-	rsmG	
3925679	3925679	3925679	-	mnmG; mioC	
3926476	3926476	3926476	-	asnA; asnC; mioC	
3927133	3927133	3927133	+	asnA; asnC; mioC	
3931104	3931104	3931104	+	kup; ravA	
3931129	3931129	3931129	-	kup; ravA	
3933327	3933327	3933327	+	rbsA; rbsD	
3933396	3933396	3933396	+	rbsA; rbsD	
3935970	3935970	3935970	+	rbsB; rbsC	
3941353	3941353	3941353	-	hsrA; yieP; rrsC	
3941514	3941514	3941514	+	yieP; rrsC	
3941632	3941632	3941632	+	yieP; rrsC	
3948030	3948030	3948030	+	hdfR; maoP	
3948051	3948051	3948051	+	hdfR; maoP	
3948316	3948316	3948316	-	hdfR; maoP	
3948541	3948541	3948541	-	yifB; hdfR; maoP	
3950291	3950291	3950291	+	yifB; ilvL; ilvX; ilvG	
3957863	3957863	3957863	-	ilvC; ilvY	
3957917	3957917	3957917	+	ilvC; ilvY	
3959840	3959840	3959840	-	ppiC; yifN	
3959979	3959979	3959979	-	rep; ppiC; yifN	
3960651	3960651	3960651	+	rep; yifN	
3965374	3965374	3965374	+	rhlB; trxA	
3965630	3965630	3965630	-	rhlB; rho; trxA; rhoL	
3965651	3965651	3965651	+	rhlB; rho; trxA; rhoL	
3969887	3969887	3969887	+	wzzE; wecB	
3980824	3980824	3980824	+	thrP	
3982166	3982166	3982166	+	aslB; thrP; argX; hisR; leuT; proM	
3982363	3982363	3982363	+	aslB; argX; hisR; leuT; proM	
3986302	3986302	3986302	+	aslA; glmZ	
3986433	3986433	3986433	+	aslA; glmZ	
3990775	3990775	3990775	+	cyaA; hemC	
3990938	3990938	3990938	-	cyaA; hemC	
3990953	3990953	3990953	+	cyaA; hemC	
3991000	3991000	3991000	+	cyaA; hemC	
3994082	3994082	3994082	-	dapF; cyaY; lptM; yzcX	
3994492	3994492	3994492	+	dapF; cyaY; lptM; yzcX	
4001067	4001067	4001067	+	yigE; corA; G0-10704; ysgD	
4004715	4004715	4004715	-	pldA; rarD; yigI	
4004754	4004754	4004754	+	pldA; rarD; yigI	
4004778	4004778	4004778	+	pldA; rarD; yigI	
4009026	4009026	4009026	+	pldB; rhtB	
4009072	4009072	4009072	-	pldB; rhtB	
4009102	4009102	4009102	+	pldB; rhtB	
4012854	4012854	4012854	-	metE; metR	
4012887	4012887	4012887	+	metE; metR	
4016000	4016000	4016000	+	udp; ysgA	
4016202	4016202	4016202	-	udp; ysgA	
4016225	4016225	4016225	-	udp; ysgA	
4017300	4017300	4017300	+	rmuC	
4018829	4018829	4018829	+	ubiE; ubiJ	
4021764	4021764	4021764	+	ubiB; tatA; tatB	
4024813	4024813	4024813	+	rfaH; ubiD	
4024872	4024872	4024872	-	rfaH; ubiD	
4024973	4024973	4024973	+	rfaH; ubiD	
4025047	4025047	4025047	-	rfaH; ubiD	
4031012	4031012	4031012	-	fadB; pepQ	
4031051	4031051	4031051	+	fadB; pepQ	
4031131	4031131	4031131	+	fadB; pepQ	
4034391	4034391	4034391	+	trkH; hemG	
4035237	4035237	4035237	+	hemG; rrsA	
4035356	4035356	4035356	+	hemG; rrsA	
4042048	4042048	4042048	+	mobB; mobA; yihD; srkA	
4042141	4042141	4042141	-	mobB; mobA; yihD; srkA	
4043253	4043253	4043253	+	dsbA; srkA	
4046430	4046430	4046430	+	polA; yihG	
4046626	4046626	4046626	-	polA; yihG	
4049900	4049900	4049900	+	spf; spfP	
4050793	4050793	4050793	-	yihA; yihI; csrC	
4050827	4050827	4050827	+	yihA; yihI; csrC	
4051037	4051037	4051037	+	yihA; yihI; csrC	
4051308	4051308	4051308	+	yihA; yihI; hemN; csrC	
4051324	4051324	4051324	+	yihA; yihI; hemN; csrC	
4053777	4053777	4053777	-	yshB	
4056525	4056525	4056525	-	glnL; glnZ	
4058106	4058106	4058106	-	glnA; bipA; G0-10705	
4058219	4058219	4058219	-	glnA; bipA; G0-10705	
4058327	4058327	4058327	+	glnA; bipA; G0-10705	
4070539	4070539	4070539	+	yihR; yihS	
4073630	4073630	4073630	-	yihU; yihV	
4074646	4074646	4074646	+	csqR	
4079712	4079712	4079712	+	yiiE; yiiF	
4081360	4081360	4081360	-	fdhE; fdoI	
4085939	4085939	4085939	+	fdoG; fdhD	
4085961	4085961	4085961	-	fdoG; fdhD	
4093009	4093009	4093009	+	frvB; frvA; rhaM	
4094157	4094157	4094157	+	rhaM; rhaD	
4100760	4100760	4100760	+	sodA; rhaT	
4101624	4101624	4101624	+	kdgT	
4102787	4102787	4102787	+	yiiM	
4105685	4105685	4105685	-	cpxR; cpxA; fieF; cpxQ; cpxP	
4105786	4105786	4105786	+	cpxR; fieF; cpxQ; cpxP	
4105960	4105960	4105960	-	cpxR; fieF; cpxQ; cpxP	
4106033	4106033	4106033	-	cpxR; fieF; cpxQ; cpxP	
4106450	4106450	4106450	+	cpxR; fieF; cpxQ; cpxP	
4106863	4106863	4106863	+	pfkA; fieF; cpxQ	
4107046	4107046	4107046	+	pfkA; fieF; cpxQ	
4108806	4108806	4108806	+	sbp	
4109878	4109878	4109878	+	cdh	
4111569	4111569	4111569	-	tpiA; yiiQ; yiiR	
4112178	4112178	4112178	+	tpiA; yiiQ; yiiR; yiiS	
4112236	4112236	4112236	-	tpiA; yiiQ; yiiR; yiiS	
4112346	4112346	4112346	+	yiiQ; yiiR; yiiS	
4112929	4112929	4112929	+	yiiQ; yiiR; yiiS; uspD	
4114496	4114496	4114496	-	fpr	
4116864	4116864	4116864	+	glpK	
4117607	4117607	4117607	-	glpF; glpK	
4118160	4118160	4118160	-	glpF; zapB	
4118428	4118428	4118428	+	glpF; zapB	
4119355	4119355	4119355	-	rraA	
4122289	4122289	4122289	+	hslV; hslU	
4124509	4124509	4124509	-	cytR	
4126855	4126855	4126855	+	priA; rpmE	
4126912	4126912	4126912	+	priA; rpmE	
4128529	4128529	4128529	-	metB; metJ; yiiX	
4128556	4128556	4128556	-	metB; metJ; yiiX	
4128636	4128636	4128636	+	metB; metJ; yiiX	
4132551	4132551	4132551	+	metF	
4133746	4133746	4133746	+	katG	
4133766	4133766	4133766	-	katG	
4150354	4150354	4150354	-	eptC	
4153187	4153187	4153187	-	ppc	
4154884	4154884	4154884	+	argC; argE	
4154899	4154899	4154899	-	argC; argE	
4155194	4155194	4155194	-	argC; argE	
4158457	4158457	4158457	+	oxyR; oxyS	
4160821	4160821	4160821	-	fabR; sthA	
4160846	4160846	4160846	+	fabR; sthA	
4161057	4161057	4161057	-	fabR; yijD; sthA	
4161080	4161080	4161080	+	fabR; yijD; sthA	
4161459	4161459	4161459	+	fabR; yijD; sthA	
4162923	4162923	4162923	-	btuB; trmA	
4163281	4163281	4163281	-	btuB; trmA	
4163400	4163400	4163400	+	btuB; trmA	
4166365	4166365	4166365	+	rrsB	
4166484	4166484	4166484	+	rrsB	
4172035	4172035	4172035	+	murB; rrfB	
4175106	4175106	4175106	-	coaA; glyT; thrT; thrU; tyrU; G7818	
4175382	4175382	4175382	+	coaA; tufB; glyT; thrT; thrU; tyrU; G7818	
4177178	4177178	4177178	+	nusG; secE	
4178355	4178355	4178355	+	nusG; rplA; rplK	
4179624	4179624	4179624	+	rplA; rplJ	
4190317	4190317	4190317	-	yjaZ; sroH	
4190486	4190486	4190486	-	yjaZ; sroH	
4190639	4190639	4190639	-	sroH	
4196300	4196300	4196300	-	thiC; nudC; rsd	
4196686	4196686	4196686	+	thiC; nudC; rsd	
4196861	4196861	4196861	-	thiC; nudC; rsd	
4196952	4196952	4196952	-	hemE; nudC; rsd	
4200177	4200177	4200177	+	hupA; yjaG; yjaH	
4207569	4207569	4207569	-	purH; rrsE	
4207860	4207860	4207860	+	purH; rrsE	
4207973	4207973	4207973	+	purH; rrsE	
4213218	4213218	4213218	+	yjaA; rrfE	
4214234	4214234	4214234	+	metA; yjaB	
4214412	4214412	4214412	-	metA; yjaB	
4215405	4215405	4215405	+	aceB	
4223652	4223652	4223652	-	iclR; metH	
4223785	4223785	4223785	+	iclR; metH	
4227599	4227599	4227599	+	yjbB	
4230278	4230278	4230278	-	pepE; rluF	
4230336	4230336	4230336	+	pepE; rluF	
4233205	4233205	4233205	+	lysC; pgi	
4233332	4233332	4233332	+	lysC; pgi	
4233520	4233520	4233520	-	lysC; pgi	
4240301	4240301	4240301	+	psiE; yjbT	
4246464	4246464	4246464	-	malE; malK	
4246738	4246738	4246738	+	malE; malK	
4250558	4250558	4250558	-	yjbI	
4252483	4252483	4252483	+	ubiC; ubiA	
4256354	4256354	4256354	+	dgkA; lexA; plsB	
4256458	4256458	4256458	+	dgkA; lexA; plsB	
4256598	4256598	4256598	-	dgkA; lexA; plsB	
4259180	4259180	4259180	+	yjbJ	
4260030	4260030	4260030	-	yjbJ; zur; yjbL; yjbM	
4261592	4261592	4261592	+	dusA	
4264283	4264283	4264283	+	dnaB; qorA	
4264303	4264303	4264303	-	dnaB; qorA	
4267083	4267083	4267083	+	tyrB	
4269362	4269362	4269362	+	aphA; yjbS	
4270009	4270009	4270009	+	aphA; yjbQ; yjbR	
4273932	4273932	4273932	-	ssb; uvrA	
4274084	4274084	4274084	+	ssb; uvrA	
4274099	4274099	4274099	+	ssb; uvrA	
4275404	4275404	4275404	+	yjcB; pdeC	
4277422	4277422	4277422	-	soxR; soxS; ryjA	
4277447	4277447	4277447	+	soxR; soxS; ryjA	
4278100	4278100	4278100	-	soxR; soxS; ghxP; ryjA	
4278319	4278319	4278319	+	ghxP; ryjA	
4279917	4279917	4279917	+	yjcE	
4287283	4287283	4287283	+	acs; nrfA; ytcB	
4287390	4287390	4287390	-	acs; nrfA; ytcB	
4294374	4294374	4294374	+	gltP	
4297148	4297148	4297148	-	yjcO	
4313018	4313018	4313018	-	rpiB; alsR	
4313259	4313259	4313259	+	rpiB; yjdP; alsR	
4313899	4313899	4313899	+	rpiB; yjdP	
4325765	4325765	4325765	-	yjdN; phnC; naRNA1; naRNA2; naRNA3; naRNA4; naRNA5; naRNA6	
4326833	4326833	4326833	-	yjdM; rdcA; naRNA1; naRNA2; naRNA3; naRNA4	
4330408	4330408	4330408	+	proP	
4334290	4334290	4334290	-	eptA; basR	
4337996	4337996	4337996	-	adiY	
4341644	4341644	4341644	-	melA; melR	
4341888	4341888	4341888	+	melA; melR	
4349259	4349259	4349259	+	dcuB; dcuR	
4351814	4351814	4351814	+	dcuS; yjdI; yjdJ; ghoS	
4354735	4354735	4354735	-	lysU	
4363329	4363329	4363329	-	dicD; pheU	
4365390	4365390	4365390	-	cutA; dsbD	
4366832	4366832	4366832	-	dcuA; aspX	
4366894	4366894	4366894	+	aspA; dcuA; aspX	
4368431	4368431	4368431	-	aspA; fxsA	
4368604	4368604	4368604	+	aspA; fxsA	
4370454	4370454	4370454	-	groL; groS; yjeH	
4370617	4370617	4370617	+	groL; groS; yjeH	
4372764	4372764	4372764	+	yjeI	
4375566	4375566	4375566	+	efp; ecnA; epmB	
4375656	4375656	4375656	+	efp; ecnA; epmB	
4375702	4375702	4375702	-	efp; ecnA; epmB	
4376025	4376025	4376025	-	efp; ecnA; ecnB; epmB	
4376511	4376511	4376511	+	gdx; ecnA; ecnB	
4377747	4377747	4377747	-	blc	
4382414	4382414	4382414	-	frdA; epmA	
4382479	4382479	4382479	-	frdA; epmA	
4382500	4382500	4382500	+	frdA; epmA	
4382618	4382618	4382618	+	frdA; epmA	
4391529	4391529	4391529	+	rsgA; orn	
4391588	4391588	4391588	-	glyV; rsgA; orn	
4392220	4392220	4392220	+	glyV; glyX; glyY; yjeV; rsgA; orn	
4392310	4392310	4392310	+	glyV; glyX; glyY; yjeV; orn	
4393678	4393678	4393678	+	nnr; yjeV; queG	
4394091	4394091	4394091	-	nnr; queG	
4395179	4395179	4395179	+	tsaE; nnr	
4397101	4397101	4397101	+	mutL; amiB	
4398834	4398834	4398834	+	miaA; mutL	
4399053	4399053	4399053	+	miaA; mutL	
4399802	4399802	4399802	+	hfq; miaA	
4404666	4404666	4404666	+	purA; yjeT	
4406169	4406169	4406169	+	nsrR; rnr	
4414250	4414250	4414250	+	aidB	
4416763	4416763	4416763	-	yjfN; bsmA; yjfP	
4416868	4416868	4416868	-	yjfN; bsmA; yjfP	
4416893	4416893	4416893	+	yjfN; bsmA; yjfP	
4418927	4418927	4418927	-	ulaR; ulaG	
4419638	4419638	4419638	-	ulaG; ulaA	
4424842	4424842	4424842	-	priB; rpsF; yjfY	
4425026	4425026	4425026	+	priB; rpsF; yjfY	
4425977	4425977	4425977	-	priB; rplI; rpsR	
4428742	4428742	4428742	-	ytfB; fklB	
4428903	4428903	4428903	-	ytfB; fklB	
4428908	4428908	4428908	+	ytfB; fklB	
4429730	4429730	4429730	-	cycA; fklB	
4429781	4429781	4429781	+	cycA	
4433117	4433117	4433117	-	ytfF	
4434051	4434051	4434051	-	qorB; ytfH	
4434084	4434084	4434084	+	qorB; ytfH	
4436565	4436565	4436565	+	cysQ; cpdB	
4436629	4436629	4436629	-	cysQ; cpdB	
4439135	4439135	4439135	+	ytfJ; ytfK	
4439309	4439309	4439309	-	ytfJ; ytfK	
4439512	4439512	4439512	+	ytfJ; ytfK	
4440798	4440798	4440798	-	G0-10706; paeA	
4442255	4442255	4442255	+	msrA; tamA	
4442262	4442262	4442262	-	msrA; tamA	
4448431	4448431	4448431	+	yzfA; chpS; chpB; ytfP	
4448442	4448442	4448442	+	yzfA; chpS; chpB; ytfP	
4449686	4449686	4449686	-	ppa; ytfQ	
4449916	4449916	4449916	+	ppa; ytfQ	
4455645	4455645	4455645	-	fbp; mpl	
4455761	4455761	4455761	+	fbp; mpl	
4455789	4455789	4455789	-	fbp; mpl	
4457945	4457945	4457945	+	tldE; yjgA	
4457949	4457949	4457949	-	tldE; yjgA	
4462745	4462745	4462745	-	nrdD	
4466209	4466209	4466209	-	treB	
4467343	4467343	4467343	-	treR; mgtA; mgtL	
4467363	4467363	4467363	+	treR; mgtA; mgtL	
4470943	4470943	4470943	-	pyrI; ridA	
4472550	4472550	4472550	-	pyrB; pyrL; G7878; yjgH	
4473321	4473321	4473321	-	pyrL; yjgH; bdcA	
4474140	4474140	4474140	+	bdcA; G7881; bdcR; tabA	
4474837	4474837	4474837	+	bdcA; G7881; bdcR; tabA; yjgL	
4478343	4478343	4478343	-	argI; rraB	
4478446	4478446	4478446	+	argI; rraB	
4479568	4479568	4479568	-	yjgM; yjgN	
4485196	4485196	4485196	-	pepA	
4485955	4485955	4485955	+	pepA; ytgA; ytgB; lptF	
4486061	4486061	4486061	+	pepA; ytgA; ytgB; lptF	
4486109	4486109	4486109	-	pepA; ytgA; ytgB; lptF	
4486137	4486137	4486137	-	pepA; ytgA; ytgB; lptF	
4490082	4490082	4490082	-	yjgR	
4494434	4494434	4494434	-	idnK; idnD	
4494598	4494598	4494598	+	idnK; idnD	
4496232	4496232	4496232	-	ahr; intB; leuX	
4496384	4496384	4496384	+	ahr; intB; leuX	
4496575	4496575	4496575	+	ahr; intB; leuX	
4500504	4500504	4500504	-	yjgX; yjgZ	
4501839	4501839	4501839	+	yjgZ	
4503722	4503722	4503722	+	nanX; insG	
4520400	4520400	4520400	-	yjhU	
4525969	4525969	4525969	+	yjhI	
4527977	4527977	4527977	+	sgcA; ryjB; sgcE	
4531685	4531685	4531685	-	sgcX; yjhY	
4532338	4532338	4532338	-	sgcX; yjhY	
4538902	4538902	4538902	-	nanM; nanC	
4540687	4540687	4540687	+	fimB	
4541874	4541874	4541874	+	fimE	
4542995	4542995	4542995	+	fimA; fimI; fimR2	
4551522	4551522	4551522	+	uxuA; gntP	
4554481	4554481	4554481	+	uxuR	
4556577	4556577	4556577	+	idlP; ytiC; ytiD; yjiC; iraD	
4556856	4556856	4556856	+	idlP; ytiC; ytiD; yjiC; iraD	
4559645	4559645	4559645	-	iadA; yjiG	
4571641	4571641	4571641	-	yjiR; yjiS; yjiT	
4572161	4572161	4572161	+	yjiR; yjiS; yjiT	
4579360	4579360	4579360	-	mcrB; symR; symE	
4579849	4579849	4579849	+	mcrB; symR; symE	
4586480	4586480	4586480	+	hsdR; mrr	
4586810	4586810	4586810	-	hsdR; mrr	
4595864	4595864	4595864	-	lgoR; lgoD	
4599492	4599492	4599492	-	yjjA; opgB	
4601556	4601556	4601556	-	dnaC; dnaT; yjjB	
4605692	4605692	4605692	-	leuP; leuQ; leuV; yjjZ; fhuF	
4606433	4606433	4606433	-	leuP; leuQ; leuV; yjjZ; fhuF	
4607721	4607721	4607721	-	rimI; holD; rsmC	
4607780	4607780	4607780	+	rimI; holD; rsmC	
4608390	4608390	4608390	+	rimI; holD; yjjG; rsmC	
4609382	4609382	4609382	+	prfC; yjjG	
4611154	4611154	4611154	+	osmY	
4611302	4611302	4611302	+	osmY	
4612383	4612383	4612383	+	ytjA; yjjU	
4616181	4616181	4616181	+	yjjI; yjjW	
4621750	4621750	4621750	+	hipH	
4624810	4624810	4624810	-	serB; ytjB; lplA	
4624827	4624827	4624827	+	serB; ytjB; lplA	
4627304	4627304	4627304	+	nadR	
4630563	4630563	4630563	-	slt; ettA	
4630688	4630688	4630688	+	slt; ettA	
4633669	4633669	4633669	+	ytjC; yjjX	
4633771	4633771	4633771	-	ytjC; yjjX	
4635226	4635226	4635226	+	creA; creB; rob	
4635352	4635352	4635352	-	creA; creB; rob	
4635478	4635478	4635478	+	creA; creB; rob	
4640586	4640586	4640586	+	arcA; yjtD; ytjE; yjjY	
4640595	4640595	4640595	-	arcA; yjtD; ytjE; yjjY	
4640802	4640802	4640802	-	arcA; yjtD; ytjE; yjjY	
4640815	4640815	4640815	-	arcA; yjtD; ytjE; yjjY	
